Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
103	19606806	sondern eine wellenförmige Hoch ebene , welche von 3 Bergzügen	durchschnitten	und dadurch in drei Stu fen zerlegt wird . Die	sondern_KON eine_ART wellenförmige_ADJA Hoch_NN ebene_ADJA ,_$, welche_PRELS von_APPR 3_CARD Bergzügen_NN	durchschnitten_VVPP	und_KON dadurch_PAV in_APPR drei_CARD Stu_NN fen_ADJD zerlegt_VVPP wird_VAFIN ._$. Die_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=102	38590732	38590732
104	19606806	chender Bergzüge , welche von der tiefen Thalfurche der Weser	durchschnitten	werden . Theile dieses Gebirges sind das Süntel - ,	chender_ADJA Bergzüge_NN ,_$, welche_PRELS von_APPR der_ART tiefen_ADJA Thalfurche_NN der_ART Weser_NE	durchschnitten_VVPP	werden_VAINF ._$. Theile_NE dieses_PDAT Gebirges_NN sind_VAFIN das_ART Süntel_NN -_$( ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=103	38592229	38592229
105	17076093	, durch eine dritte Linie entweder lothrccht oder nicht lothrcchl	durchschnitten	werden . Da6 Ziehen gleichlaufender Linien im Freien muß auch	,_$, durch_APPR eine_ART dritte_ADJA Linie_NN entweder_KON lothrccht_VVFIN oder_KON nicht_PTKNEG lothrcchl_ADJD	durchschnitten_VVPP	werden_VAINF ._$. Da6_ADJA Ziehen_NN gleichlaufender_ADJA Linien_NN im_APPRART Freien_NN muß_VMFIN auch_ADV	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=104	38838813	38838813
106	17076093	gegenüber- stehenden eine Diagonale . Wie haben sich diese Diagonale	durchschnitten	? Alle in einem Punkte . In welchem Theile der	gegenüber-_TRUNC stehenden_ADJA eine_ART Diagonale_NN ._$. Wie_KOUS haben_VAFIN sich_PRF diese_PDAT Diagonale_NN	durchschnitten_VVPP	?_$. Alle_PIS in_APPR einem_ART Punkte_NN ._$. In_APPR welchem_PRELS Theile_NE der_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=105	38864298	38864298
107	17076093	der Fall ? Ja . Wo muß aber die Sehne	durchschnitten	sein ? In ihrer Mitte . Wenn man also auf	der_ART Fall_NN ?_$. Ja_PTKANT ._$. Wo_PWAV muß_VMFIN aber_ADV die_ART Sehne_NN	durchschnitten_VVPP	sein_VAINF ?_$. In_APPR ihrer_PPOSAT Mitte_NN ._$. Wenn_KOUS man_PIS also_ADV auf_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=106	38871157	38871157
108	17076093	Sehne im Kreise gethan habe ? Sie hat den KreiSumsang	durchschnitten	. Ist sie jetzt noch eine Sehne ? Nein .	Sehne_NN im_APPRART Kreise_NN gethan_NE habe_VAFIN ?_$. Sie_PPER hat_VAFIN den_ART KreiSumsang_NN	durchschnitten_VVPP	._$. Ist_VAFIN sie_PPER jetzt_ADV noch_ADV eine_ART Sehne_NN ?_$. Nein_PTKANT ._$.	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=107	38872529	38872529
109	8468420	der Canäle Mailands mit Wasser versehe » , und Pavia	durchschnitten	hat , sich wenig unterhalb in den Po verliert .	der_ART Canäle_NN Mailands_NE mit_APPR Wasser_NN versehe_VVFIN »_$( ,_$, und_KON Pavia_NE	durchschnitten_VVPP	hat_VAFIN ,_$, sich_PRF wenig_ADV unterhalb_ADJD in_APPR den_ART Po_NN verliert_VVFIN ._$.	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=108	38927738	38927738
110	2494087	zur Anbringung aufgerichteter Gestelle dar . « . Nach den	Durchschnitten	, welche auf Grund des Bedarfs für das ganze Königreich	zur_APPRART Anbringung_NN aufgerichteter_ADJA Gestelle_NN dar_PTKVZ ._$. «_$( ._$. Nach_APPR den_ART	Durchschnitten_NN	,_$, welche_PRELS auf_APPR Grund_NN des_ART Bedarfs_NN für_APPR das_ART ganze_ADJA Königreich_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=109	40472878	40472878
111	2494087	von Passagen , welche von Norden nach Süden laufen ,	durchschnitten	. ll ) Das Gebäude ist in der Quere ,	von_APPR Passagen_NN ,_$, welche_PRELS von_APPR Norden_NN nach_APPR Süden_NN laufen_VVFIN ,_$,	durchschnitten_VVPP	._$. ll_NN )_$( Das_ART Gebäude_NN ist_VAFIN in_APPR der_ART Quere_NN ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=110	40480855	40480855
112	2494087	ansehnlicher Raum mit Schienenwegen , Drehscheiben , Schlüsseln und Kreuzungen	durchschnitten	, worauf ganze Eisenbahnzüge mit Dampfwagen , Tendern , Personen	ansehnlicher_ADJA Raum_NN mit_APPR Schienenwegen_NN ,_$, Drehscheiben_NN ,_$, Schlüsseln_NN und_KON Kreuzungen_NN	durchschnitten_VVPP	,_$, worauf_PWAV ganze_ADJA Eisenbahnzüge_NN mit_APPR Dampfwagen_NN ,_$, Tendern_NN ,_$, Personen_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=111	40545963	40545963
113	2494087	Beziehung sehr instruktiv sind . Sie sind der Mitte nach	durchschnitten	, um die inneren Theile sichtbar zu machen , und	Beziehung_NN sehr_ADV instruktiv_ADJD sind_VAFIN ._$. Sie_PPER sind_VAFIN der_ART Mitte_NN nach_APPO	durchschnitten_VVPP	,_$, um_KOUI die_ART inneren_ADJA Theile_NE sichtbar_ADJD zu_PTKZU machen_VVINF ,_$, und_KON	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=112	40722334	40722334
114	2494087	. RoMsche und Schiebebühnen . 541 buchen die Hauptgeleise nicht	durchschnitten	zu werden . Ihre Benutzung erfordert ein zwei - oder	._$. RoMsche_NN und_KON Schiebebühnen_NN ._$. 541_CARD buchen_VVFIN die_ART Hauptgeleise_NN nicht_PTKNEG	durchschnitten_VVPP	zu_PTKZU werden_VAINF ._$. Ihre_PPOSAT Benutzung_NN erfordert_VVFIN ein_ART zwei_CARD -_$( oder_KON	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=113	40743589	40743589
115	2494087	„ per ganzen Breite durch Stäbe zusammengeholt , verleimt und	durchschnitten	wurden . Eine solche Maschine sollte angeblich für 100 mechanische	„_$( per_APPR ganzen_ADJA Breite_NN durch_APPR Stäbe_NN zusammengeholt_VVPP ,_$, verleimt_VVPP und_KON	durchschnitten_VVPP	wurden_VAFIN ._$. Eine_ART solche_PIAT Maschine_NN sollte_VMFIN angeblich_ADJD für_APPR 100_CARD mechanische_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=114	40762695	40762695
116	2494087	, wird durch eine selbstthätige Schneidevorrichtung in den erforderlichen Längen	durchschnitten	N » d auf Walzen fortbewegt . Das Durchschneiden geschieht	,_$, wird_VAFIN durch_APPR eine_ART selbstthätige_ADJA Schneidevorrichtung_NN in_APPR den_ART erforderlichen_ADJA Längen_NN	durchschnitten_VVFIN	N_NN »_$( d_VVFIN auf_APPR Walzen_NN fortbewegt_VVPP ._$. Das_ART Durchschneiden_NN geschieht_VVFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=115	40792075	40792075
117	2494087	- u . Handelsschiffen , auch Jachten . 661 ^	Durchschnitten	durch Mitte , Vorder - und Hiutertheil , wodurch die	-_$( u_VVFIN ._$. Handelsschiffen_NN ,_$, auch_ADV Jachten_NN ._$. 661_CARD ^_XY	Durchschnitten_NN	durch_APPR Mitte_NN ,_$, Vorder_NN -_$( und_KON Hiutertheil_NN ,_$, wodurch_PWAV die_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=116	40811684	40811684
118	2494087	als bei den ganzen « der Halb- " wdelleu (	Durchschnitten	in der Scheidelinie des Kiels ) , Die tzuecn von	als_KOUS bei_APPR den_ART ganzen_ADJA «_$( der_ART Halb-_TRUNC "_$( wdelleu_ADJD (_$(	Durchschnitten_NN	in_APPR der_ART Scheidelinie_NN des_ART Kiels_NN )_$( ,_$, Die_ART tzuecn_NE von_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=117	40811715	40811715
119	2494087	kann man so unterscheiden : 1 . Der Boden soll	durchschnitten	werden , und zwar senkrecht ( das Unkraut , Rasen	kann_VMFIN man_PIS so_ADV unterscheiden_VVINF :_$. 1_CARD ._$. Der_ART Boden_NN soll_VMFIN	durchschnitten_VVPP	werden_VAINF ,_$, und_KON zwar_ADV senkrecht_ADJD (_$( das_ART Unkraut_NN ,_$, Rasen_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=118	40860229	40860229
120	2494087	elastisch sei , daß es , mit einem scharfen Messer	durchschnitten	, eine egale hellbraune Farbe und einen glatten Schnitt zeige	elastisch_ADJD sei_VAFIN ,_$, daß_KOUS es_PPER ,_$, mit_APPR einem_ART scharfen_ADJA Messer_NN	durchschnitten_VVPP	,_$, eine_ART egale_ADJA hellbraune_ADJA Farbe_NN und_KON einen_ART glatten_ADJA Schnitt_NN zeige_VVFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=119	41106210	41106210
121	2494087	eigentliche Gerberei des sämischen Leders beendigt . Mit dem Messer	durchschnitten	, werden die Leder egal gelb und , auf der	eigentliche_ADJA Gerberei_NN des_ART sämischen_ADJA Leders_NN beendigt_VVPP ._$. Mit_APPR dem_ART Messer_NN	durchschnitten_VVPP	,_$, werden_VAFIN die_ART Leder_NN egal_ADJD gelb_ADJD und_KON ,_$, auf_APPR der_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=120	41125609	41125609
122	2494087	ten „ Mohrenkopf " , dessen Hals mit einem Messer	durchschnitten	werden kann , ohne daß das Haupt von , Rumpfe	ten_NE „_$( Mohrenkopf_NN "_$( ,_$, dessen_PRELAT Hals_NN mit_APPR einem_ART Messer_NN	durchschnitten_VVPP	werden_VAINF kann_VMFIN ,_$, ohne_APPR daß_KOUS das_ART Haupt_NE von_NE ,_$, Rumpfe_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=121	41678704	41678704
123	2494087	und diesen Theil des Stromes in jeder Stunde 60 Mal	durchschnitten	. Jedes dieser Fahrzeuge mußte wenigstens 300 Personen tragen können	und_KON diesen_PDAT Theil_NN des_ART Stromes_NN in_APPR jeder_PIAT Stunde_NN 60_CARD Mal_NN	durchschnitten_VVPP	._$. Jedes_PIAT dieser_PDAT Fahrzeuge_NN mußte_VMFIN wenigstens_ADV 300_CARD Personen_NN tragen_VVINF können_VMINF	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=122	41729374	41729374
124	25518695	, bewässert von vielen zum Theil nicht unbedeutenden Flüssen ,	durchschnitten	von hohen . Gebirgen , erzeugt der vulkanische Boden einen	,_$, bewässert_VVFIN von_APPR vielen_PIS zum_APPRART Theil_NN nicht_PTKNEG unbedeutenden_ADJA Flüssen_NN ,_$,	durchschnitten_VVFIN	von_APPR hohen_ADJA ._$. Gebirgen_NN ,_$, erzeugt_VVFIN der_ART vulkanische_ADJA Boden_NN einen_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=123	41931286	41931286
125	25518695	der Mitte Phrygien und Kappadozien . Die westliche Küste ,	durchschnitten	von vielen Buchten , war von griechischen Kolonien der Aeolier	der_ART Mitte_NN Phrygien_NN und_KON Kappadozien_NN ._$. Die_ART westliche_ADJA Küste_NN ,_$,	durchschnitten_VVFIN	von_APPR vielen_PIAT Buchten_NN ,_$, war_VAFIN von_APPR griechischen_ADJA Kolonien_NN der_ART Aeolier_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=124	42074949	42074949
126	25518695	Ozean , umschifften die Küsten von Spanien und Gallien ,	durchschnitten	den brittischctt Kanal , und endeten ihren crstaunenswürdigen Seezug mit	Ozean_NN ,_$, umschifften_VVFIN die_ART Küsten_NN von_APPR Spanien_NE und_KON Gallien_NE ,_$,	durchschnitten_VVFIN	den_ART brittischctt_ADJA Kanal_NN ,_$, und_KON endeten_VVFIN ihren_PPOSAT crstaunenswürdigen_ADJA Seezug_NN mit_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=125	42200692	42200692
127	19721701	Stengel oder Stamm . Betrachtet es da , wo es	durchschnitten	ist ! Was für Theile bemerkt ihr ? Wie ist	Stengel_NN oder_KON Stamm_NN ._$. Betrachtet_VVFIN es_PPER da_PTKVZ ,_$, wo_PWAV es_PPER	durchschnitten_VVPP	ist_VAFIN !_$. Was_PWS für_APPR Theile_NE bemerkt_VVFIN ihr_PPER ?_$. Wie_KOUS ist_VAFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=126	42617706	42617706
128	19721701	Gaumensegel . , 9 . Die Zunge in der Mittellinie	durchschnitten	. 10 . Die Kehldeckel hinter der Zungenwurzel , von	Gaumensegel_NN ._$. ,_$, 9_CARD ._$. Die_ART Zunge_NN in_APPR der_ART Mittellinie_NN	durchschnitten_VVPP	._$. 10_CARD ._$. Die_ART Kehldeckel_NN hinter_APPR der_ART Zungenwurzel_NN ,_$, von_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=127	42716557	42716557
129	19721701	Eine Dattel . 3 ) Eine solche der Länge nach	durchschnitten	. 4 ) Eine Fruchtblüthe und 3 ) Eine Stanbblüthc	Eine_ART Dattel_NN ._$. 3_CARD )_$( Eine_ART solche_PIS der_ART Länge_NN nach_APPO	durchschnitten_VVPP	._$. 4_CARD )_$( Eine_ART Fruchtblüthe_NN und_KON 3_CARD )_$( Eine_ART Stanbblüthc_NE	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=128	42810355	42810355
130	19721701	Eine Kokoonnfl . t ) Eine solche der Länge nach	durchschnitten	. 8 ) Der Kern mit der untern Hälfte der	Eine_ART Kokoonnfl_NN ._$. t_NN )_$( Eine_ART solche_PIS der_ART Länge_NN nach_APPO	durchschnitten_VVPP	._$. 8_CARD )_$( Der_ART Kern_NN mit_APPR der_ART untern_APPRART Hälfte_NN der_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=129	42810381	42810381
131	19721701	hängende Gaumensegel . 9 . Die Zunge in der Mittellinie	durchschnitten	. 10 . Die Kehldeckel hinter der Zungenwurzel , von	hängende_ADJA Gaumensegel_NN ._$. 9_CARD ._$. Die_ART Zunge_NN in_APPR der_ART Mittellinie_NN	durchschnitten_VVPP	._$. 10_CARD ._$. Die_ART Kehldeckel_NN hinter_APPR der_ART Zungenwurzel_NN ,_$, von_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=130	42946435	42946435
132	19721701	verschlossen ist : in Fig . I ist die Schnecke	durchschnitten	, ll ) Die drei Bogengänge , die mit der	verschlossen_VVPP ist_VAFIN :_$. in_APPR Fig_NE ._$. I_FM ist_VAFIN die_ART Schnecke_NN	durchschnitten_VVPP	,_$, ll_NN )_$( Die_ART drei_CARD Bogengänge_NN ,_$, die_PRELS mit_APPR der_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=131	42962170	42962170
133	8746356	Stengel oder Stamm . Betrachtet es da , wo es	durchschnitten	ist ! Was für Theile bemerkt ihr ? Wie ist	Stengel_NN oder_KON Stamm_NN ._$. Betrachtet_VVFIN es_PPER da_PTKVZ ,_$, wo_PWAV es_PPER	durchschnitten_VVPP	ist_VAFIN !_$. Was_PWS für_APPR Theile_NE bemerkt_VVFIN ihr_PPER ?_$. Wie_KOUS ist_VAFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=132	44160448	44160448
134	8746356	herabhängende Gaumensegel . 9 . Die Zunge in der Mittellinie	durchschnitten	. 10 . Die Kehldeckel hinter der Zungenwurzel , von	herabhängende_ADJA Gaumensegel_NN ._$. 9_CARD ._$. Die_ART Zunge_NN in_APPR der_ART Mittellinie_NN	durchschnitten_VVPP	._$. 10_CARD ._$. Die_ART Kehldeckel_NN hinter_APPR der_ART Zungenwurzel_NN ,_$, von_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=133	44258706	44258706
135	8746356	Eine Dattel . 3 ) Eine solche der Länge nach	durchschnitten	. 4 ) Eine Fruchtblüthe und 5 ) Eine Staubblüthe	Eine_ART Dattel_NN ._$. 3_CARD )_$( Eine_ART solche_PIS der_ART Länge_NN nach_APPO	durchschnitten_VVPP	._$. 4_CARD )_$( Eine_ART Fruchtblüthe_NN und_KON 5_CARD )_$( Eine_ART Staubblüthe_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=134	44351925	44351925
136	8746356	Eine Kokosnuß . 7 ) Eine solche der Länge nach	durchschnitten	. 8 ) Der Kern mit der untern Hälfte der	Eine_ART Kokosnuß_NN ._$. 7_CARD )_$( Eine_ART solche_PIS der_ART Länge_NN nach_APPO	durchschnitten_VVPP	._$. 8_CARD )_$( Der_ART Kern_NN mit_APPR der_ART untern_APPRART Hälfte_NN der_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=135	44351952	44351952
137	8746356	hängende Gaumensegel . 9 . Die Zunge in der Mittellinie	durchschnitten	. 10 . Die Kehldeckel hinter der Zungenwurzel , von	hängende_ADJA Gaumensegel_NN ._$. 9_CARD ._$. Die_ART Zunge_NN in_APPR der_ART Mittellinie_NN	durchschnitten_VVPP	._$. 10_CARD ._$. Die_ART Kehldeckel_NN hinter_APPR der_ART Zungenwurzel_NN ,_$, von_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=136	44486141	44486141
138	8746356	verschlossen ist ; in Fig . I ist die Schnecke	durchschnitten	. 11 ) Die drei Bogengänge , die mit der	verschlossen_VVPP ist_VAFIN ;_$. in_APPR Fig_NE ._$. I_FM ist_VAFIN die_ART Schnecke_NN	durchschnitten_VVPP	._$. 11_CARD )_$( Die_ART drei_CARD Bogengänge_NN ,_$, die_PRELS mit_APPR der_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=137	44501881	44501881
139	20914643	“ Z . B Bin Garten wird durch die Strasze	durchschnitten	. Die eine zu rückbleibende Seite verliert als Garten an	“_$( Z_NN ._$. B_NE Bin_NE Garten_NN wird_VAFIN durch_APPR die_ART Strasze_NN	durchschnitten_VVPP	._$. Die_ART eine_PIS zu_APPR rückbleibende_ADJA Seite_NN verliert_VVFIN als_KOKOM Garten_NN an_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=138	44754864	44754864
140	7715467	ich die größer » Kanäle , von denen das Land	durchschnitten	ist , mir einer Menge gewandter Tchlittschnhläufer aus beiden Geschlechtern	ich_PPER die_PRELS größer_ADJD »_$( Kanäle_NN ,_$, von_APPR denen_PRELS das_ART Land_NN	durchschnitten_VVPP	ist_VAFIN ,_$, mir_PRF einer_ART Menge_NN gewandter_ADJA Tchlittschnhläufer_NN aus_APPR beiden_PIAT Geschlechtern_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=139	45490842	45490842
141	8789218	einer kleinen Anhöhe , die von der Straße nach Baden	durchschnitten	wird , entdeckte man 1836 vier aus Tnsstcin erbaute Gräber	einer_ART kleinen_ADJA Anhöhe_NN ,_$, die_PRELS von_APPR der_ART Straße_NN nach_APPR Baden_NE	durchschnitten_VVPP	wird_VAFIN ,_$, entdeckte_VVFIN man_PIS 1836_CARD vier_CARD aus_APPR Tnsstcin_NE erbaute_ADJA Gräber_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=140	45694422	45694422
142	8789218	Regel an einer oder mehrern Steilen von den jetzigen Strömen	durchschnitten	worden . Solcher halbmondförmigen Wälle zeigen sich im Limmatthale zwischen	Regel_NN an_APPR einer_ART oder_KON mehrern_ADJA Steilen_NN von_APPR den_ART jetzigen_ADJA Strömen_NN	durchschnitten_VVPP	worden_VAPP ._$. Solcher_PIAT halbmondförmigen_ADJA Wälle_NN zeigen_VVFIN sich_PRF im_APPRART Limmatthale_NN zwischen_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=141	45749397	45749397
143	8789218	Horn - , Klos - und Wolfbach an vier Stellen	durchschnitten	. Seine weitere Fortsetzung bildet wahrscheinlich der wallartige Rücken ,	Horn_NE -_$( ,_$, Klos_NN -_$( und_KON Wolfbach_NE an_APPR vier_CARD Stellen_NN	durchschnitten_VVPP	._$. Seine_PPOSAT weitere_ADJA Fortsetzung_NN bildet_VVFIN wahrscheinlich_ADJD der_ART wallartige_ADJA Rücken_NN ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=142	45749645	45749645
144	8789218	, von welchen der Canton bald nach alle » Richtungen	durchschnitten	sein wird , eine der ersten Stellen ein . Wir	,_$, von_APPR welchen_PRELS der_ART Canton_NN bald_ADV nach_APPR alle_PIAT »_$( Richtungen_NN	durchschnitten_VVPP	sein_VAINF wird_VAFIN ,_$, eine_PIS der_ART ersten_ADJA Stellen_NN ein_PTKVZ ._$. Wir_PPER	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=143	45843631	45843631
145	8789218	den Manteln , das Militair an der Cocarde , rechts	durchschnitten	. Gemeindewescn . Schon vor dem 16 . Jahrhundert zeigen	den_ART Manteln_NN ,_$, das_ART Militair_NN an_APPR der_ART Cocarde_NN ,_$, rechts_ADV	durchschnitten_VVPP	._$. Gemeindewescn_NE ._$. Schon_ADV vor_APPR dem_ART 16_CARD ._$. Jahrhundert_NN zeigen_VVFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=144	45978090	45978090
146	8789218	den dortigen Erd rücken empor und wird von der Kempt	durchschnitten	. Der Boden ist an vielen Stellen torfhaltend und mooricht	den_ART dortigen_ADJA Erd_NN rücken_VVFIN empor_PTKVZ und_KON wird_VAFIN von_APPR der_ART Kempt_NN	durchschnitten_VVPP	._$. Der_ART Boden_NN ist_VAFIN an_APPR vielen_PIAT Stellen_NN torfhaltend_ADJD und_KON mooricht_ADJD	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=145	46106769	46106769
147	8789218	auf den Rücken des Aldis erstreckt und von der Sihl	durchschnitten	wird . Der Boden ist höchst verschieden , mehr durch	auf_APPR den_ART Rücken_NN des_ART Aldis_NE erstreckt_VVPP und_KON von_APPR der_ART Sihl_NN	durchschnitten_VVPP	wird_VAFIN ._$. Der_ART Boden_NN ist_VAFIN höchst_ADJD verschieden_VVPP ,_$, mehr_ADV durch_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=146	46108086	46108086
148	8789218	dieser Landspitze ist mit mancherlei Holzarten bepflanzt und von Baumgängen	durchschnitten	, Zn dich ten Schatten sind einzelne Abtheilungen gehüllt ,	dieser_PDAT Landspitze_NN ist_VAFIN mit_APPR mancherlei_PIAT Holzarten_NN bepflanzt_VVPP und_KON von_APPR Baumgängen_NN	durchschnitten_VVPP	,_$, Zn_NE dich_PPER ten_NE Schatten_NN sind_VAFIN einzelne_ADJA Abtheilungen_NN gehüllt_VVPP ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=147	46154345	46154345
149	22799846	dichte » ' Walde bedeckt , der von einem Hohlwege	durchschnitten	w » » / 7 ) Urk . Nro .	dichte_ADJA »_$( '_$( Walde_NN bedeckt_VVPP ,_$, der_PRELS von_APPR einem_ART Hohlwege_NN	durchschnitten_VVFIN	w_ADJD »_$( »_$( /_$( 7_CARD )_$( Urk_NN ._$. Nro_NE ._$.	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=148	46415277	46415277
150	22799846	sich gezeigt hätte , wurde die Letzi von den Oesterreichern	durchschnitten	. Schon waren iweihundert Bogenschützen und mit ihnen einige Mannschaft	sich_PRF gezeigt_VVPP hätte_VAFIN ,_$, wurde_VAFIN die_ART Letzi_NN von_APPR den_ART Oesterreichern_NN	durchschnitten_VVPP	._$. Schon_ADV waren_VAFIN iweihundert_ADJA Bogenschützen_NN und_KON mit_APPR ihnen_PPER einige_PIAT Mannschaft_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=149	46422942	46422942
151	22799846	nach St . Gallen , die bei Gählern vorbeigeht ,	durchschnitten	wird- 38 ) Dieser Hof Reute liegt im Cant .	nach_APPR St_NE ._$. Gallen_NN ,_$, die_PRELS bei_APPR Gählern_NN vorbeigeht_VVFIN ,_$,	durchschnitten_VVPP	wird-_TRUNC 38_CARD )_$( Dieser_PDAT Hof_NN Reute_NN liegt_VVFIN im_APPRART Cant_NN ._$.	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=150	46511825	46511825
152	19522673	Thäler . Die Abhänge meist terrassenförmig und von vielen Schluchten	durchschnitten	, haben nur wenig Klippen , die aus dem ,	Thäler_NN ._$. Die_ART Abhänge_NN meist_ADV terrassenförmig_ADJD und_KON von_APPR vielen_PIAT Schluchten_NN	durchschnitten_VVPP	,_$, haben_VAFIN nur_ADV wenig_PIAT Klippen_NN ,_$, die_PRELS aus_APPR dem_ART ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=151	47570627	47570627
